asin,text,title,location_and_date,verified,rating
B00NLZUM36,"The Redragon S101 Wired Gaming Keyboard and Mouse Combo is an affordable and high-performance gaming accessory set that comes with a RGB backlit gaming keyboard and a gaming mouse. I have used this combo extensively for gaming and work purposes and found it to be a great value for the price.The keyboard is a full-sized keyboard that features RGB backlighting with multiple customizable color options. The keys have a tactile and responsive feel, which is great for gamers who need quick and precise keystrokes. The keyboard also has 25 anti-ghosting keys, which means that multiple keys can be pressed at once without any interference or ghosting issues. Additionally, the keyboard has 12 multimedia keys that allow for quick and easy access to media functions.The mouse is designed specifically for gaming and features a comfortable ergonomic design that fits well in the hand. The mouse has six programmable buttons that can be customized to suit your gaming needs. The mouse also has adjustable DPI levels, ranging from 800 to 2,400, which is great for gamers who need quick and precise movements.One of the standout features of this combo is its compatibility with a wide range of operating systems, including Windows 10, Windows 8, Windows 7, and Mac OS. The combo is also easy to set up, and the plug-and-play design means that no additional software is required for installation.Overall, the Redragon S101 Wired Gaming Keyboard and Mouse Combo is a great value for gamers who are looking for a high-performance gaming accessory set that won't break the bank. The combo offers a range of features that are essential for gaming, including anti-ghosting keys, customizable RGB lighting, and adjustable DPI levels.",Works great,"Reviewed in the United States on March 17, 2023",True,5.0
B00NLZUM36,"Product is awesome. Works fantastically. No issues at all, and functions as it's supposed to. My only complaint is how it was shipped. It was sent via USPS and not through Amazon itself, which caused a lot of problems. First, the package was way too big to fit inside a mailbox (obviously) but it also could not fit inside a parcel mailbox either, and I was forced to retrieve it from the post office. Items like this are better sent via Amazon's own delivery service, or Fedex, etc. USPS is not designed to deliver large packages. Otherwise, I am happy with my purchase.",Great keyboard. Issues with delivery.,"Reviewed in the United States on March 1, 2023",True,4.0
B00NLZUM36,Great product with a great price. Bought these for the kids computers and they haven't had any complaints with it. Good rgb color schemes.,Great product,"Reviewed in the United States on March 22, 2023",True,5.0
B00NLZUM36,the keyboard is actually decent but the mouse sensor is pretty dog water even for regular use.. i dont know if its cuz i dont have a mousepad but the mouse isn't great.edit: ok it turns out you need to put in the weights and get a book of a certain texture or a mousepad to make the sensor perform better.,its alright.,"Reviewed in the United States on February 28, 2023",True,4.0
B00NLZUM36,"I'm not a gamer, so I can't attest to the gaming functionality of this board. But otherwise, it fills my hoem computing needs perfect. Nice keystrokes. Mouse fits me perfectly. No complaints!",Fills my needs just fine!,"Reviewed in the United States on March 12, 2023",True,5.0
B00NLZUM36,This is a great set for the money. You can't control the lights but it is a great keyboard regardless. The mouse is very smooth in regards to movement. It's not overly fancy but it gets the job done!,Works great!,"Reviewed in the United States on March 7, 2023",True,5.0
B00NLZUM36,"Great RGB keyboard for the price. My son loves it. Only reason for the loss of a star is that the mouse isn't RGB and only lights up red, this is slightly aggravating to him but all in all you can't go wrong for the price",Nice setup,"Reviewed in the United States on February 26, 2023",True,4.0
B00NLZUM36,just got it. time will tell. got it super quick and the price was very good.,just got. so far so good.,"Reviewed in the United States on March 18, 2023",True,5.0
B00NLZUM36,"I bought this for my son to play games and he loves it. It’s also affordable and comes with the mouse, which is decent too.",Works good and is affordable,"Reviewed in the United States on March 10, 2023",True,5.0
B00NLZUM36,Updated after enough use to adequately review 12/10/22:The keys are a tad bit too small. The mouse after one day - right mouse button sticks. I use it to toggle zoom so I don't press and hold it I just tap it. The left button does have a satisfying click and the resolution of the mouse improved gaming performance by an order of magnitude.Interesting but true - see picture - this keyboard has two R keys. The left R key is actually the E key.I can touch type on the keyboard but it takes some getting used to because of the small size of the keys and the smaller than usual spacing. I will live with it for a while but I should have bought a mechanical keyboard.This will definitely improve your gaming performance if you are currently using any form of wireless mouse. I was using Logitech M510 wireless gaming mouse and a Logitech ergonomic keyboard and they both experienced latency and connection issues.Overall very satisfied.,Great Upgrade at Great Price,"Reviewed in the United States on December 9, 2022",True,4.0
